,id matches,patch,region,league_name,league_id,radiant_name,radiant_id,dire_name,dire_id,radiant_score,dire_score,first_ban_radiant,ban1,ban2,ban3,ban4,ban5,ban6,pick1,pick2,pick3,pick4,ban7,ban8,ban9,ban10,pick5,pick6,pick7,pick8,ban11,ban12,pick9,pick10,radiant_win
111,3548897559,20.0,3,DreamLeague season 8,5627,Team Empire,21.0,Team Secret,1.0,12,41,1,71,58,86,38,85,75,78,30,7,68,42,53,20,47,96,107,8,18,39,46,9,34,0
112,3548993847,20.0,3,DreamLeague season 8,5627,Team Secret,1.0,Vega Squadron,8.0,22,32,0,86,38,78,112,85,60,3,30,7,51,20,13,9,12,47,39,65,1,97,18,57,82,0
113,3549071620,20.0,8,The Summit 5,4442,Team Empire,21.0,Gambit Esports,9.0,40,36,1,66,78,71,38,85,69,58,16,112,64,35,13,47,39,9,4,114,65,76,104,40,54,1
114,3549079813,20.0,3,DreamLeague season 8,5627,Vega Squadron,8.0,Team Secret,1.0,33,38,1,86,39,78,35,85,47,60,22,71,3,17,38,9,69,96,13,80,54,29,15,46,43,0
115,3549145408,20.0,8,The Summit 5,4442,Team Empire,21.0,Gambit Esports,9.0,31,20,0,78,38,58,85,88,71,16,107,79,66,112,35,47,9,48,50,2,109,39,15,75,34,1
116,3549168535,20.0,3,DreamLeague season 8,5627,Mid or Feed,27.0,Virtus.pro,18.0,18,36,0,85,38,31,60,88,65,3,51,112,78,1,57,107,54,13,16,104,114,46,10,74,48,0
117,3549205058,20.0,8,The Summit 5,4442,Team Empire,21.0,Vega Squadron,8.0,32,19,1,71,78,3,58,60,38,107,112,16,68,33,47,65,39,53,44,20,104,17,46,9,49,1
118,3549219773,20.0,3,DreamLeague season 8,5627,Mid or Feed,27.0,Virtus.pro,18.0,34,21,0,85,60,31,78,38,3,112,51,68,107,47,13,1,67,39,57,41,20,11,18,75,113,1
119,3549257953,20.0,8,The Summit 5,4442,Team Empire,21.0,Vega Squadron,8.0,31,18,1,71,78,3,58,60,38,107,27,88,53,68,44,9,47,85,75,18,15,49,39,8,61,1
120,3549783819,20.0,7,AEF Season 2,5491,Equinox,,Mavericks,,25,6,0,107,112,86,60,7,69,38,111,97,20,6,8,43,95,16,74,49,98,27,72,75,1,1
121,3549795285,20.0,7,AEF Season 2,5491,Natural 9,,IM Ridiculously Strong,,37,21,0,53,14,78,107,16,35,38,104,112,68,22,1,76,41,71,20,39,28,43,54,49,109,1
122,3549800030,20.0,12,The Summit 5,4442,VGJ Thunder,15.0,EHOME,26.0,26,32,1,51,78,5,60,3,13,107,62,43,68,15,111,41,65,64,18,38,39,104,95,29,17,0
123,3549806397,20.0,7,AEF Season 2,5491,Trash Tier Gaming,,Greedy Goblins,,11,29,1,14,114,20,60,87,47,27,53,71,16,1,35,12,67,68,40,8,44,74,17,39,22,0
124,3549867560,20.0,7,AEF Season 2,5491,Greedy Goblins,,Trash Tier Gaming,,26,2,1,47,53,60,68,31,71,101,37,85,92,17,1,12,20,23,104,102,54,74,70,35,11,1
125,3549877088,20.0,7,AEF Season 2,5491,Natural 9,,IM Ridiculously Strong,,28,18,0,53,14,78,107,104,35,51,16,64,90,54,1,22,41,88,47,9,29,80,15,43,6,1
