,radiant_Disabler,radiant_Nuker,radiant_Carry,radiant_Initiator,radiant_Escape,radiant_Durable,radiant_Support,radiant_Pusher,radiant_Jungler,dire_Disabler,dire_Nuker,dire_Carry,dire_Initiator,dire_Escape,dire_Durable,dire_Support,dire_Pusher,dire_Jungler,match_id
853,4.0,4.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,5.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,3164113417
854,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,3164169861
855,3.0,4.0,5.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0,5.0,2.0,2.0,0.0,3.0,2.0,2.0,0.0,3164260875
856,4.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,0.0,5.0,2.0,3.0,4.0,2.0,1.0,3.0,0.0,0.0,3164303907
857,5.0,5.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,4.0,4.0,1.0,3.0,4.0,3.0,2.0,1.0,0.0,3164417850
858,3.0,3.0,2.0,3.0,1.0,0.0,1.0,2.0,1.0,4.0,4.0,3.0,1.0,2.0,3.0,3.0,0.0,1.0,3164474906
859,4.0,3.0,3.0,4.0,5.0,1.0,1.0,1.0,0.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0,2.0,0.0,3164541642
860,4.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,3164547740
861,4.0,3.0,3.0,4.0,2.0,2.0,1.0,0.0,0.0,4.0,3.0,2.0,3.0,2.0,1.0,3.0,0.0,1.0,3164632037
862,5.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,1.0,4.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3164636763
863,5.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,5.0,4.0,3.0,4.0,3.0,2.0,1.0,0.0,1.0,3164690934
864,5.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,0.0,3.0,3.0,3.0,2.0,1.0,0.0,2.0,3164732533
865,4.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,2.0,4.0,4.0,2.0,3.0,2.0,0.0,2.0,1.0,0.0,3164845962
866,4.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,0.0,5.0,3.0,2.0,4.0,4.0,2.0,2.0,0.0,2.0,3164964520
867,4.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,0.0,1.0,3165602911
868,3.0,2.0,3.0,3.0,4.0,1.0,1.0,1.0,0.0,3.0,3.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,3165798050
869,5.0,2.0,3.0,4.0,4.0,2.0,1.0,0.0,2.0,3.0,4.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,3165908750
870,5.0,5.0,3.0,4.0,3.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,2.0,3.0,1.0,3.0,1.0,0.0,3166437920
871,3.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,3166472638
872,5.0,4.0,4.0,3.0,1.0,3.0,3.0,0.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,3166560535
873,4.0,2.0,3.0,3.0,4.0,1.0,1.0,0.0,0.0,5.0,3.0,3.0,2.0,2.0,3.0,3.0,0.0,2.0,3166607500
874,4.0,5.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,5.0,4.0,2.0,3.0,2.0,4.0,1.0,3.0,1.0,3166674845
875,3.0,3.0,3.0,3.0,3.0,0.0,1.0,1.0,2.0,4.0,3.0,2.0,3.0,0.0,3.0,1.0,1.0,0.0,3166767662
876,4.0,5.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,3166900519
877,3.0,4.0,2.0,0.0,1.0,2.0,3.0,1.0,0.0,3.0,3.0,2.0,3.0,4.0,0.0,1.0,0.0,1.0,3166997279
878,3.0,4.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,4.0,3.0,3.0,1.0,2.0,3.0,2.0,0.0,2.0,3167004100
879,4.0,5.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,4.0,1.0,2.0,2.0,0.0,3167186674
880,4.0,4.0,4.0,3.0,1.0,3.0,2.0,0.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,0.0,1.0,3167326378
881,3.0,3.0,2.0,3.0,2.0,3.0,4.0,0.0,0.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0,3167452939
882,4.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,0.0,3.0,1.0,2.0,0.0,3168626396
