"match_id","start_time","radiant_team_id","radiant_score","dire_team_id","dire_score","radiant_win"
3283079346,1498816605,4424013,39,,25,true
3283206180,1498820805,,48,4424013,33,true
3283419732,1498826918,,30,4424013,50,false
3283572195,1498830808,4424013,42,3262512,44,false
3283798913,1498836747,3262512,32,4424013,37,false
3283952207,1498841259,3262512,11,4424013,30,false
3284918896,1498888358,2679744,10,4369633,39,false
3285323281,1498901186,2679744,21,992217,16,true
3285439916,1498904816,2679744,38,992217,40,false
3285578141,1498908925,2679744,28,992217,15,true
3285944077,1498918608,4536429,33,4277461,24,true
3286019994,1498920495,4650540,6,4647363,43,false
3286063533,1498921775,4186376,28,4100699,15,true
3286168576,1498924504,4186376,22,4100699,40,false
3286298341,1498928320,4186376,23,4100699,39,false
3286394883,1498931344,3347004,13,2620931,29,false
3286498439,1498935061,3707778,31,2499422,11,true
3286655143,1498941603,3865400,40,2622695,13,true
3286708325,1498944150,2100741,25,4750797,1,true
3286774182,1498947777,1603548,28,4750861,45,false
3286854813,1498952987,2249609,41,4750861,5,true
3286918764,1498957177,4329854,63,2341746,16,true
3286981090,1498960629,989159,30,2100741,33,true
3287317277,1498974797,4369633,18,2679744,31,false
3287448024,1498978967,4759607,15,3888297,25,false
3287466425,1498979518,2679744,28,4369633,13,true
3287572197,1498982632,4759607,45,3888297,25,true
3287710432,1498986601,,55,3930069,89,false
3287713147,1498986679,3888297,24,4759607,26,false
3287769517,1498988310,4759785,23,4759764,6,true
3287799041,1498989181,4647193,43,3343629,49,false
3287868983,1498991238,3763318,41,3381333,39,true
3288004077,1498995220,3381333,35,3763318,46,false
3288023712,1498995779,4759900,17,2777582,30,false
3288182763,1499000044,1921192,28,4484969,12,true
3288198825,1499000462,3763318,46,4759607,48,true
3288351259,1499004375,3735230,28,,6,true
3288376796,1499005037,3763318,27,4759607,32,false
3288502719,1499008480,464103,32,3704482,23,true
3288514477,1499008823,3763318,40,4759607,31,true
3288675949,1499013827,464103,11,3704482,35,false
3288718007,1499015252,2607096,24,3583262,19,true
3288779866,1499017494,2533075,30,3704482,11,true
3288816871,1499018892,3583262,44,2607096,35,true
3288861460,1499020679,464103,15,3704482,26,false
3288905903,1499022490,2607096,31,3583262,4,true
3289077294,1499030381,2249609,25,989159,37,false
3289866776,1499072561,1412659,23,4223256,15,true
3289943776,1499075234,1412659,35,4223256,48,true
3290463348,1499090560,2533075,16,4730907,30,false
3290479711,1499091001,3100469,4,4282535,24,false
3290586688,1499094300,4730907,11,464103,33,false
3290678461,1499097320,464103,28,4730907,16,true
